Thanksgiving,28,11,2013,11/28/13
Christmas Day,25,12,2013,12/25/13
New Year's Day,1,1,2014,01/01/14
"Martin Luther King, Jr. Day",20,1,2014,01/20/14
Presidents' Day,17,2,2014,02/17/14
Good Friday,18,4,2014,04/18/14
Memorial Day,26,5,2014,05/26/14
Independence Day,4,7,2014,07/04/14
Labour Day,1,9,2014,09/01/14
Thanksgiving,27,11,2014,11/27/14
Christmas Day,25,12,2014,12/25/14
New Year's Day,1,1,2015,01/01/15
"Martin Luther King, Jr. Day",19,1,2015,01/19/15
Presidents' Day,16,2,2015,02/16/15
Good Friday,3,4,2015,04/03/15
Memorial Day,25,5,2015,05/25/15
Independence Day (Observed),3,7,2015,07/03/15
Independence Day,4,7,2015,07/04/15
Labour Day,7,9,2015,09/07/15
Thanksgiving,26,11,2015,11/26/15
Christmas Day,25,12,2015,12/25/15
New Year's Day,1,1,2016,01/01/16
"Martin Luther King, Jr. Day",18,1,2016,01/18/16
Presidents' Day,15,2,2016,02/15/16
Good Friday,25,3,2016,03/25/16
Memorial Day,30,5,2016,05/30/16
Independence Day,4,7,2016,07/04/16
Labour Day,5,9,2016,09/05/16
Thanksgiving,24,11,2016,11/24/16
Christmas Day,25,12,2016,12/25/16
Christmas Day (Observed),26,12,2016,12/26/16
New Year's Day,1,1,2017,01/01/17
New Year's Day (Observed),2,1,2017,01/02/17
"Martin Luther King, Jr. Day",16,1,2017,01/16/17
Presidents' Day,20,2,2017,02/20/17
Good Friday,14,4,2017,04/14/17
Memorial Day,29,5,2017,05/29/17
Independence Day,4,7,2017,07/04/17
Labour Day,4,9,2017,09/04/17
Thanksgiving,30,11,2017,11/30/17
Christmas Day,25,12,2017,12/25/17
New Year's Day,1,1,2018,01/01/18
"Martin Luther King, Jr. Day",15,1,2018,01/15/18
Presidents' Day,19,2,2018,02/19/18
Good Friday,30,3,2018,03/30/18
Memorial Day,28,5,2018,05/28/18
Independence Day,4,7,2018,07/04/18
Labour Day,3,9,2018,09/03/18
Thanksgiving,29,11,2018,11/29/18
Christmas Day,25,12,2018,12/25/18
New Year's Day,1,1,2019,01/01/19
"Martin Luther King, Jr. Day",21,1,2019,01/21/19
Presidents' Day,18,2,2019,02/18/19
Good Friday,19,4,2019,04/19/19
Memorial Day,27,5,2019,05/27/19
Independence Day,4,7,2019,07/04/19
Labour Day,2,9,2019,09/02/19
Thanksgiving,28,11,2019,11/28/19
Christmas Day,25,12,2019,12/25/19
New Year's Day,1,1,2020,01/01/20
"Martin Luther King, Jr. Day",20,1,2020,01/20/20
Presidents' Day,17,2,2020,02/17/20
Good Friday,10,4,2020,04/10/20
Memorial Day,25,5,2020,05/25/20
Independence Day (Observed),3,7,2020,07/03/20
Independence Day,4,7,2020,07/04/20
Labour Day,7,9,2020,09/07/20
Thanksgiving,26,11,2020,11/26/20
Christmas Day,25,12,2020,12/25/20
New Year's Day,1,1,2021,01/01/21
"Martin Luther King, Jr. Day",18,1,2021,01/18/21
Presidents' Day,15,2,2021,02/15/21
Good Friday,2,4,2021,04/02/21
Memorial Day,31,5,2021,05/31/21
Independence Day,4,7,2021,07/04/21
Independence Day (Observed),5,7,2021,07/05/21
Labour Day,6,9,2021,09/06/21
Thanksgiving,25,11,2021,11/25/21
Christmas Day (Observed),24,12,2021,12/24/21
Christmas Day,25,12,2021,12/25/21
New Year's Day (Observed),31,12,2021,12/31/21
New Year's Day (Observed),31,12,2021,12/31/21
New Year's Day,1,1,2022,01/01/22
"Martin Luther King, Jr. Day",17,1,2022,01/17/22
Presidents' Day,21,2,2022,02/21/22
Good Friday,15,4,2022,04/15/22
Memorial Day,30,5,2022,05/30/22
Independence Day,4,7,2022,07/04/22
Labour Day,5,9,2022,09/05/22
Thanksgiving,24,11,2022,11/24/22
Christmas Day,25,12,2022,12/25/22
Christmas Day (Observed),26,12,2022,12/26/22
New Year's Day,1,1,2023,01/01/23
New Year's Day (Observed),2,1,2023,01/02/23
"Martin Luther King, Jr. Day",16,1,2023,01/16/23
Presidents' Day,20,2,2023,02/20/23
Good Friday,7,4,2023,04/07/23
Memorial Day,29,5,2023,05/29/23
Independence Day,4,7,2023,07/04/23
Labour Day,4,9,2023,09/04/23
Thanksgiving,30,11,2023,11/30/23
Christmas Day,25,12,2023,12/25/23
New Year's Day,1,1,2024,01/01/24
"Martin Luther King, Jr. Day",15,1,2024,01/15/24
Presidents' Day,19,2,2024,02/19/24
Good Friday,29,3,2024,03/29/24
Memorial Day,27,5,2024,05/27/24
Independence Day,4,7,2024,07/04/24
Labour Day,2,9,2024,09/02/24
Thanksgiving,28,11,2024,11/28/24
Christmas Day,25,12,2024,12/25/24
New Year's Day,1,1,2025,01/01/25
"Martin Luther King, Jr. Day",20,1,2025,01/20/25
Presidents' Day,17,2,2025,02/17/25
Good Friday,18,4,2025,04/18/25
